restaurant_id,restaurant_name,cuisine_type,city,locality,average_cost_for_two,rating,votes,delivery_time_min,discount_percent,menu_items_count,monthly_orders,review_count,distance_km,establishment_year,order_type
100001,Pav Bhaji Hub,South Indian,Mumbai,Powai,1153,2.7,48275,28,40,32,9724,27656,0.99,1995,Dine-In
100002,Saffron Kitchen,Street Food,Surat,Koramangala,2448,2.6,42600,84,25,66,7409,38623,7.1,1990,Dine-In
100003,Dosa Delight,Mughlai,Kolkata,Powai,786,2.6,22069,28,0,107,1634,11768,21.22,2006,Dine-In
100004,Idli Express,Biryani,Jaipur,Indiranagar,1700,2.2,19223,61,50,59,11593,2284,1.34,2004,Delivery
100005,Punjab Grill,Cafe,Hyderabad,Indiranagar,1706,2.8,41670,61,0,104,5870,13735,16.82,1994,Takeaway
100006,Pav Bhaji Hub,Chinese,Jaipur,HSR Layout,819,3.4,17701,86,10,185,5363,1837,5.88,1992,Delivery
100007,Chai & Chaat,Continental,Delhi,Whitefield,2473,4.6,20632,42,30,111,14544,15040,3.74,1998,Dine-In
100008,Idli Express,Street Food,Jaipur,Powai,1904,4.7,26185,61,10,45,8398,16176,2.45,1993,Dine-In
100009,Curry Leaf,Thai,Bangalore,Gachibowli,410,3.2,39062,74,40,74,9114,757,17.07,1997,Takeaway
100010,Andhra Meals,Street Food,Nagpur,Powai,1543,2.3,28502,35,30,10,11880,23587,6.73,2022,Dine-In
100011,Mango Lassi,Desserts,Delhi,Malad,2229,3.8,10026,62,0,148,12807,8694,22.98,2010,Delivery
100012,Spice Garden,South Indian,Bhopal,Anna Nagar,1409,2.7,15795,87,0,31,12041,7967,20.44,1998,Dine-In
100013,South Indian Hut,Biryani,Jaipur,Andheri,1235,3.6,39763,69,10,148,12424,13187,17.88,2015,Takeaway
100014,Pav Bhaji Hub,Fast Food,Ahmedabad,Navrangpura,1999,2.4,14735,23,20,15,9688,9080,5.91,2004,Dine-In
100015,Punjab Grill,Mexican,Lucknow,Bandra,1087,2.2,2068,57,0,141,3949,1145,16.79,2003,Takeaway
100016,Curry Leaf,Mexican,Bhopal,Gomti Nagar,2086,2.7,31006,67,10,34,1638,21598,10.89,2017,Delivery
100017,Street Spice,Cafe,Kanpur,Bandra,553,2.2,47734,58,0,73,3189,12470,13.5,1998,Delivery
100018,Masala Zone,Continental,Ahmedabad,HSR Layout,458,3.3,36076,27,0,176,8906,972,24.23,2005,Dine-In
100019,Kebab Corner,Biryani,Ahmedabad,Whitefield,1792,4.7,10799,63,0,109,4395,7459,7.27,2021,Dine-In
100020,The Food Court,Continental,Hyderabad,Bandra,2370,2.2,20562,22,0,159,7861,16482,23.0,2023,Dine-In
100021,The Biryani House,Street Food,Delhi,Andheri,430,3.8,44260,45,25,40,14636,37339,6.31,1992,Takeaway
100022,Punjab Grill,Mughlai,Lucknow,Gomti Nagar,2465,3.6,17099,41,20,71,4401,12974,3.45,2009,Delivery
100023,Royal Feast,Desserts,Nagpur,Connaught Place,188,3.4,36906,27,0,147,3542,33158,6.78,2012,Dine-In
100024,Andhra Meals,Italian,Kolkata,Malad,796,3.3,35610,53,50,177,8716,517,16.76,2009,Takeaway
100025,Tandoor Palace,Desserts,Bangalore,Powai,622,4.7,48665,85,0,79,4666,39643,5.42,2011,Dine-In
100026,South Indian Hut,Thai,Indore,Powai,2220,3.5,3339,26,25,80,772,19,8.47,1998,Takeaway
100027,Naan Stop,Chinese,Kanpur,Hitech City,2409,4.1,36769,16,0,29,14518,9773,13.73,2013,Takeaway
100028,The Thali Place,Chinese,Pune,Juhu,321,2.9,2624,60,10,184,4138,426,8.97,2016,Takeaway
100029,Idli Express,Chinese,Bhopal,HSR Layout,815,4.9,11613,67,0,55,12117,5447,19.6,2016,Takeaway
100030,Tamil Tadka,Mexican,Nagpur,HSR Layout,1242,2.5,45968,28,25,19,14117,30852,5.72,2019,Delivery
100031,Desi Dhaba,Cafe,Nagpur,HSR Layout,1063,2.1,12666,66,20,81,14211,1142,24.18,2007,Delivery
100032,Pav Bhaji Hub,Street Food,Pune,Civil Lines,1506,4.8,7569,48,0,158,4399,318,2.89,2017,Delivery
100033,Idli Express,Mediterranean,Kolkata,Gachibowli,2244,2.3,37797,39,15,21,11662,28582,0.24,2002,Delivery
100034,Kebab Corner,South Indian,Lucknow,Salt Lake,1435,4.0,8177,53,40,89,10976,3350,8.29,2008,Takeaway
100035,Curry Leaf,Italian,Pune,Adyar,862,3.8,19733,66,40,10,5028,9406,5.41,2010,Delivery
100036,Street Spice,Biryani,Lucknow,Whitefield,2243,3.4,48241,36,0,82,8495,43511,15.9,2011,Dine-In
100037,Goan Getaway,Mediterranean,Hyderabad,Malad,1070,4.4,9666,18,0,72,7834,1198,11.49,2002,Takeaway
100038,Dosa Delight,Mughlai,Ahmedabad,Adyar,1149,2.4,45074,15,0,118,3635,11531,20.14,2023,Delivery
100039,The Biryani House,Street Food,Hyderabad,Indiranagar,2019,2.4,30460,82,40,162,5248,24753,22.31,2022,Delivery
100040,Goan Getaway,Desserts,Jaipur,Hitech City,801,4.2,31118,72,15,73,13810,20899,7.08,2023,Delivery
100041,Pav Bhaji Hub,Italian,Chennai,Hitech City,467,4.1,15377,49,20,91,14681,8854,2.2,1999,Dine-In
100042,Chai & Chaat,Mexican,Bangalore,Whitefield,413,3.2,21694,84,30,116,1070,6782,20.86,2014,Takeaway
100043,Dosa Delight,North Indian,Indore,Gomti Nagar,1708,3.4,23062,53,25,117,8868,17900,20.04,2004,Delivery
100044,Saffron Kitchen,Continental,Pune,Vastrapur,268,3.2,43845,66,0,129,2141,40785,13.45,2015,Takeaway
100045,Zaiqa,Thai,Mumbai,Connaught Place,1905,2.4,30267,38,0,76,6261,10731,5.45,2010,Delivery
100046,Chettinad Kitchen,Desserts,Pune,Powai,1876,2.8,5377,75,0,148,903,2871,5.76,1994,Takeaway
100047,The Biryani House,Mediterranean,Mumbai,HSR Layout,966,4.5,40729,34,10,42,7808,7501,14.19,2003,Delivery
100048,Dosa Delight,Continental,Nagpur,Anna Nagar,837,3.8,49026,29,0,89,1821,37929,0.84,2009,Takeaway
100049,South Indian Hut,Desserts,Pune,Adyar,962,2.2,45270,46,0,188,12706,19769,21.29,1997,Takeaway
100050,The Coastal Cafe,North Indian,Kolkata,Civil Lines,1904,4.0,4529,79,20,13,13969,3446,20.59,1996,Delivery
100051,Mumbai Bites,Thai,Bhopal,Hitech City,776,3.3,48100,81,15,167,13291,35274,19.41,2019,Delivery
100052,Goan Getaway,Mexican,Surat,Powai,1470,4.6,5689,50,30,72,12345,3811,14.33,2014,Delivery
100053,Spice Garden,Biryani,Indore,Salt Lake,894,3.5,23263,48,20,81,14473,19539,17.59,2007,Takeaway
100054,Spice Garden,Street Food,Hyderabad,Connaught Place,1138,4.2,32029,86,10,186,7850,21169,17.85,2018,Dine-In
100055,Punjab Grill,Continental,Hyderabad,Adyar,1146,2.9,38122,62,30,151,8748,22533,10.75,2011,Delivery
100056,Dosa Delight,Biryani,Chennai,Malad,1179,2.7,47280,39,20,40,12221,35123,23.78,2001,Dine-In
100057,The Food Court,Mexican,Ahmedabad,Powai,2298,3.8,6598,39,15,68,5962,1474,7.7,1998,Delivery
100058,The Biryani House,North Indian,Jaipur,Malad,667,3.9,49344,77,0,13,9455,18639,11.84,2018,Delivery
100059,Masala Zone,North Indian,Chennai,Vastrapur,617,4.5,26270,77,0,157,10362,22498,1.53,1999,Takeaway
100060,Desi Dhaba,South Indian,Hyderabad,Indiranagar,2435,4.3,39745,43,40,107,7431,29019,7.57,2017,Delivery
100061,Zaiqa,Seafood,Mumbai,Hazratganj,556,4.8,13627,42,15,179,1380,2578,6.15,1994,Dine-In
100062,Spice Garden,Mughlai,Ahmedabad,Hazratganj,2074,2.9,15180,51,15,189,14133,7443,1.97,2004,Delivery
